epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.01243,1.66392,2.63843,1.13786,1,0.51472,0.90938,0.47341,1.31301,2.71459,1.00488,0.00034,0.00034,0.00034
2,6.91408,1.34252,1.46025,1.08888,0.00545,0.97479,0.8265,0.4198,1.23232,2.79723,1.04918,0.0006769,0.0006769,0.0006769
3,9.90216,1.34022,1.30889,1.10376,1,0.13502,0.88975,0.55087,1.26675,2.44536,1.08247,0.00099004,0.00099004,0.00099004
4,12.8545,1.29219,1.1673,1.08107,0.99045,0.87132,0.94145,0.56827,1.25895,1.58102,1.10936,0.00127942,0.00127942,0.00127942
5,15.6932,1.25776,1.11068,1.08865,0.9786,0.87395,0.95825,0.534,1.47401,1.29095,1.2225,0.00154504,0.00154504,0.00154504
6,18.5026,1.26716,1.0478,1.11399,0.96931,0.90756,0.97493,0.56662,1.34947,0.9394,1.18872,0.00167,0.00167,0.00167
7,21.47,1.24852,1.01129,1.1071,0.947,0.93277,0.95763,0.5802,1.34121,0.82917,1.21065,0.001604,0.001604,0.001604
8,24.4194,1.23103,0.98018,1.09691,0.96946,0.92437,0.98621,0.63785,1.14733,0.81607,1.11837,0.001538,0.001538,0.001538
9,27.3158,1.18277,0.87934,1.07288,0.96221,0.95798,0.99099,0.62762,1.18868,0.69084,1.116,0.001472,0.001472,0.001472
10,30.1795,1.19109,0.86848,1.05264,0.96602,0.95561,0.98177,0.57378,1.34864,0.74076,1.13477,0.001406,0.001406,0.001406
11,33.0562,1.17491,0.79898,1.05771,0.95405,0.95798,0.97024,0.62239,1.24987,0.70954,1.11106,0.00134,0.00134,0.00134
12,35.9276,1.16808,0.77291,1.05003,0.94681,0.95798,0.9786,0.61786,1.19704,0.63181,1.09539,0.001274,0.001274,0.001274
13,38.8369,1.1767,0.78761,1.06633,0.96549,0.94052,0.97624,0.58834,1.27663,0.68786,1.11961,0.001208,0.001208,0.001208
14,41.7117,1.16606,0.77168,1.05455,0.92694,0.95798,0.97962,0.63693,1.17463,0.64495,1.08949,0.001142,0.001142,0.001142
15,44.657,1.16151,0.70851,1.03874,0.96541,0.93805,0.97826,0.61905,1.22783,0.61626,1.09515,0.001076,0.001076,0.001076
16,47.4833,1.16798,0.70085,1.05452,0.97385,0.93902,0.97776,0.62138,1.2024,0.62241,1.0931,0.00101,0.00101,0.00101
17,50.2886,1.16187,0.72292,1.05575,0.98485,0.92437,0.97522,0.60134,1.1497,0.61053,1.09114,0.000944,0.000944,0.000944
18,53.1659,1.10438,0.65432,1.0149,1,0.93746,0.97214,0.64266,1.14695,0.58774,1.07586,0.000878,0.000878,0.000878
19,56.0083,1.11384,0.6455,1.02714,0.96361,0.94118,0.97853,0.55656,1.42098,0.60109,1.14509,0.000812,0.000812,0.000812
20,58.805,1.10823,0.63354,1.03838,0.97658,0.93277,0.97145,0.63251,1.17861,0.57592,1.08799,0.000746,0.000746,0.000746
21,64.0546,1.09293,0.74872,1.04324,0.97357,0.92875,0.98031,0.63701,1.17562,0.56577,1.06797,0.00068,0.00068,0.00068
22,66.9813,1.0554,0.66541,1.02195,0.9444,0.96639,0.98817,0.62137,1.19556,0.5414,1.0933,0.000614,0.000614,0.000614
23,69.7648,1.06874,0.66279,1.03027,0.96551,0.94089,0.98976,0.63103,1.15882,0.51689,1.08459,0.000548,0.000548,0.000548
24,72.5202,1.0369,0.64121,1.01869,0.98101,0.94118,0.98976,0.63797,1.15144,0.53537,1.07791,0.000482,0.000482,0.000482
25,75.2653,1.04243,0.62738,1.03312,0.98076,0.94118,0.98652,0.63465,1.16901,0.54278,1.08054,0.000416,0.000416,0.000416
26,77.9849,1.07227,0.63557,1.02763,0.95755,0.94778,0.98892,0.6569,1.16317,0.53263,1.07266,0.00035,0.00035,0.00035
27,81.4435,0.96816,0.578,0.99498,0.95789,0.95588,0.99022,0.6474,1.18517,0.52746,1.07691,0.000284,0.000284,0.000284
28,84.1822,1.00062,0.58548,1.0098,0.94284,0.96639,0.9901,0.64529,1.13137,0.49561,1.06553,0.000218,0.000218,0.000218
29,86.8962,1.02718,0.59663,1.00912,0.9581,0.94958,0.98976,0.64381,1.14329,0.49385,1.06348,0.000152,0.000152,0.000152
30,89.6593,0.99108,0.57665,1.0029,0.96581,0.94949,0.98988,0.64835,1.1255,0.49204,1.05734,8.6e-05,8.6e-05,8.6e-05
