epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.3566,1.63808,2.66955,1.17974,0.00545,0.97479,0.86624,0.44603,1.17973,2.98688,1.01896,0.00034,0.00034,0.00034
2,7.99638,1.31192,1.39362,1.11513,0.0054,0.96639,0.05048,0.02758,1.16966,3.12161,1.07862,0.0006769,0.0006769,0.0006769
3,11.6377,1.30455,1.30036,1.11623,0.00502,0.89916,0.10327,0.05737,1.31038,3.04427,1.17736,0.00099004,0.00099004,0.00099004
4,15.2357,1.29592,1.1514,1.10964,1,0.80586,0.90444,0.56267,1.30671,1.89643,1.11359,0.00127942,0.00127942,0.00127942
5,18.8786,1.26962,1.12357,1.09398,0.99,0.83156,0.928,0.56577,1.3576,1.60233,1.16484,0.00154504,0.00154504,0.00154504
6,22.4995,1.26846,1.06559,1.12394,0.9717,0.86574,0.9156,0.58044,1.31921,1.11507,1.15664,0.00167,0.00167,0.00167
7,26.2193,1.26303,0.99363,1.10015,0.98145,0.88907,0.92503,0.54589,1.38947,1.09333,1.19031,0.001604,0.001604,0.001604
8,29.8192,1.21873,0.92378,1.09548,0.93499,0.93277,0.94811,0.59338,1.27196,0.83469,1.1472,0.001538,0.001538,0.001538
9,33.5319,1.1679,0.84368,1.06948,0.97408,0.90756,0.95283,0.60033,1.30396,0.76018,1.16447,0.001472,0.001472,0.001472
10,37.2436,1.20884,0.8673,1.05784,0.97109,0.89916,0.92248,0.47688,1.65457,0.8391,1.2921,0.001406,0.001406,0.001406
11,40.8391,1.20654,0.79959,1.07484,0.97735,0.92437,0.93512,0.52111,1.47801,0.73414,1.21475,0.00134,0.00134,0.00134
12,44.5137,1.20102,0.7708,1.07024,0.9655,0.94073,0.95123,0.54609,1.34559,0.70211,1.16481,0.001274,0.001274,0.001274
13,48.129,1.14444,0.75184,1.064,0.9849,0.91597,0.96603,0.55662,1.41105,0.67944,1.16881,0.001208,0.001208,0.001208
14,51.7798,1.1671,0.74381,1.05465,0.98127,0.94118,0.97397,0.61192,1.18102,0.62161,1.09225,0.001142,0.001142,0.001142
15,55.3751,1.13025,0.69674,1.03531,0.96579,0.94903,0.98498,0.62257,1.18315,0.62011,1.10148,0.001076,0.001076,0.001076
16,58.9528,1.15844,0.70158,1.05365,0.99014,0.90756,0.96933,0.61314,1.16369,0.63909,1.0845,0.00101,0.00101,0.00101
17,62.4435,1.16735,0.71534,1.0748,0.95644,0.9226,0.96657,0.58596,1.25057,0.63532,1.11535,0.000944,0.000944,0.000944
18,65.9373,1.10587,0.64681,1.02967,0.97404,0.94578,0.97594,0.60182,1.21351,0.5959,1.10764,0.000878,0.000878,0.000878
19,69.4556,1.07777,0.632,1.02148,0.95759,0.94867,0.97021,0.63031,1.13144,0.56059,1.08655,0.000812,0.000812,0.000812
20,73.7734,1.0967,0.62247,1.03446,0.95778,0.94118,0.97142,0.62259,1.1897,0.61086,1.10753,0.000746,0.000746,0.000746
21,79.4364,1.08649,0.76825,1.05202,0.9738,0.93694,0.96792,0.59687,1.27958,0.58789,1.11349,0.00068,0.00068,0.00068
22,83.0862,1.09202,0.6661,1.0455,0.96517,0.93141,0.97051,0.58894,1.34479,0.60556,1.13574,0.000614,0.000614,0.000614
23,86.5871,1.08791,0.66426,1.04037,0.96513,0.93039,0.98149,0.64104,1.14301,0.55025,1.09168,0.000548,0.000548,0.000548
24,90.1421,1.05897,0.62928,1.02272,0.9718,0.93277,0.97305,0.64987,1.15024,0.54688,1.07865,0.000482,0.000482,0.000482
25,93.6744,1.01585,0.60649,1.02079,0.96546,0.93944,0.97959,0.64833,1.12549,0.5274,1.08055,0.000416,0.000416,0.000416
26,97.1735,1.06146,0.61928,1.03016,0.96336,0.96639,0.98455,0.64928,1.16297,0.52573,1.08378,0.00035,0.00035,0.00035
27,100.718,0.98758,0.56349,1.00342,0.9661,0.95781,0.98335,0.65168,1.1104,0.50123,1.07876,0.000284,0.000284,0.000284
28,104.273,1.00154,0.56776,1.02197,0.97475,0.97326,0.9901,0.64529,1.13121,0.49301,1.07817,0.000218,0.000218,0.000218
29,107.772,1.01068,0.58324,1.01637,0.97477,0.97394,0.98725,0.64874,1.14149,0.4868,1.07961,0.000152,0.000152,0.000152
30,111.314,0.97699,0.55342,1.00336,0.96637,0.96597,0.98335,0.65396,1.1173,0.48811,1.07346,8.6e-05,8.6e-05,8.6e-05
